Ticker,Description,Exchange,Bollinger Lower Band (20),Relative Strength Index (14),Relative Volume,Average Volume (10 day),Volume,High,Last,Low,Average Day Range (14),ADRTOPRICE,Hull Moving Average (9),Exponential Moving Average (10),"Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,Monthly Performance
BATUSDT,Basic Attention Token / TetherUS,BINANCE,1.35545008,67.13444257,0.07635243,22761328.05,86456.1,1.518,1.5097,1.5051,0.0302,2.00%,1.53326222,1.48621132,-0.5271134,-0.5271134,0.46582818,7.5361493,-0.5271134,-1.06822203
UTKUSDT,UTK / TetherUS,BINANCE,0.79131048,37.09847131,0.05258682,87398529.67,33137.79,0.7972,0.7937,0.79,0.01548571,1.95%,0.79983519,0.803913,-0.60256088,-0.3640472,-2.26573082,-2.17445021,-0.3640472,25.88123214
HOTUSDT,Holo / TetherUS,BINANCE,0.01459388,50.53030996,0.03423852,9431798450,7108371,0.015132,0.015086,0.015081,0.00029079,1.93%,0.01514634,0.01520421,-0.13242402,-0.11256042,-2.46961469,0.6741423,-0.11256042,-20.72404566
1INCHUSDT,1INCH / TetherUS,BINANCE,6.59282514,42.3599922,0.07160464,13425931.63,17953.37,6.6823,6.6218,6.61,0.12712143,1.92%,6.69397222,6.73947711,-0.87274143,-0.87274143,-2.22950626,0.23614181,-0.87274143,14.65227942
PNTUSDT,PNT / TetherUS,BINANCE,2.24424571,30.17052311,0.13678205,22726222.7,35739.16,2.327,2.3201,2.3201,0.04432143,1.91%,2.34065667,2.36535387,-0.06030584,-0.06030584,-1.71566551,-5.61793182,-0.06030584,4.44314396
XLMUSDT,Stellar / TetherUS,BINANCE,0.62239926,38.45796114,0.12957418,313297724.1,808714,0.626,0.62351,0.62228,0.01190643,1.91%,0.62613837,0.63760669,-0.36433947,-0.36433947,-1.58161413,-4.20066067,-0.36433947,2.22932547
TRBUSDT,TRB / TetherUS,BINANCE,105.2756536,30.26718974,0.15806244,387666.1699,913.17,105.173,104.663,104.491,1.95121429,1.86%,104.9087704,107.6562659,-0.50951055,-0.50951055,-2.56928218,-3.87660262,-0.50951055,23.35026577
RLCUSDT,iExec RLC / TetherUS,BINANCE,4.0160021,24.64166912,0.0784836,10338299.97,14569.84,4.0841,4.0824,4.0727,0.07584286,1.86%,4.08303259,4.20049213,0.21602514,0.21602514,-2.33259169,-5.93548387,0.21602514,40.98762026
ZECUSDT,Zcash / TetherUS,BINANCE,305.0263235,46.17401763,0.06808964,322001.9075,477.64778,308.3,307.14,306.73,5.65214286,1.84%,308.3601852,310.9447765,-0.31158715,-0.31158715,-1.94425821,-0.46342807,-0.31158715,13.78735696
WAVESUSDT,Waves / TetherUS,BINANCE,32.51135914,33.56610143,0.02870372,4983483.931,1174.932,32.556,32.51,32.48,0.59742857,1.84%,32.51391481,33.23864225,-0.12595619,-0.12595619,-2.07831325,-4.98319451,-0.12595619,97.8691759
ADAUSDT,Cardano / TetherUS,BINANCE,1.57125085,43.84548468,0.03966666,442781462.3,431997.72,1.6004,1.5933,1.5925,0.02917143,1.83%,1.59907074,1.61292523,-0.36893447,-0.36893447,-0.05018506,-3.38366382,-0.36893447,13.14357858
CVCUSDT,Civic / TetherUS,BINANCE,0.56521525,50.17410985,0.02855035,19324399.56,19488.7,0.59072,0.59009,0.58914,0.01060643,1.80%,0.59192881,0.59651498,-0.23870389,-0.10157612,-1.54545303,1.30830196,-0.10157612,-10.66111952
